iter	Passed	Remaining
0	205	205540
1	214	106883
2	221	73578
3	227	56756
4	230	45944
5	233	38707
6	235	33474
7	238	29603
8	241	26596
9	243	24130
10	245	22054
11	246	20314
12	248	18836
13	249	17569
14	250	16463
15	252	15547
16	255	14761
17	257	14022
18	258	13342
19	259	12723
20	260	12165
21	262	11654
22	263	11209
23	265	10783
24	266	10393
25	269	10077
26	270	9757
27	272	9443
28	273	9149
29	274	8874
30	275	8615
31	277	8382
32	278	8158
33	279	7942
34	281	7755
35	283	7589
36	285	7424
37	286	7254
38	287	7089
39	288	6933
40	290	6793
41	291	6653
42	292	6519
43	294	6392
44	296	6293
45	298	6196
46	300	6084
47	301	5973
48	302	5870
49	303	5773
50	305	5680
51	306	5588
52	307	5500
53	311	5449
54	313	5385
55	314	5305
56	316	5241
57	318	5172
58	320	5104
59	321	5034
60	322	4966
61	325	4918
62	327	4867
63	328	4807
64	330	4754
65	331	4693
66	332	4636
67	334	4579
68	335	4525
69	336	4474
70	338	4430
71	340	4394
72	342	4352
73	345	4323
74	347	4282
75	348	4239
76	349	4193
77	351	4152
78	352	4109
79	355	4085
80	356	4050
81	358	4011
82	359	3966
83	360	3932
84	361	3895
85	363	3859
86	364	3824
87	365	3789
88	367	3763
89	369	3739
90	372	3718
91	373	3689
92	375	3661
93	377	3635
94	378	3609
95	380	3581
96	385	3584
97	387	3565
98	389	3540
99	390	3515
100	391	3489
101	393	3463
102	394	3436
103	395	3409
104	398	3398
105	401	3388
106	403	3365
107	405	3349
108	407	3328
109	408	3308
110	413	3315
111	416	3304
112	418	3288
113	420	3266
114	421	3246
115	424	3231
116	425	3212
117	429	3208
118	431	3195
119	433	3182
120	435	3163
121	436	3142
122	438	3125
123	440	3112
124	445	3115
125	446	3099
126	447	3079
127	449	3061
128	450	3043
129	452	3025
130	454	3013
131	456	2998
132	460	3002
133	462	2986
134	463	2970
135	467	2972
136	469	2955
137	471	2943
138	474	2939
139	476	2927
140	477	2911
141	479	2897
142	482	2889
143	485	2884
144	488	2880
145	491	2876
146	493	2861
147	494	2846
148	495	2832
149	497	2817
150	498	2804
151	500	2789
152	503	2785
153	505	2774
154	507	2766
155	509	2755
156	510	2741
157	512	2729
158	514	2718
159	515	2706
160	516	2693
161	519	2686
162	521	2675
163	522	2664
164	523	2651
165	525	2638
166	526	2625
167	528	2617
168	530	2610
169	535	2616
170	537	2606
171	539	2598
172	541	2588
173	542	2577
174	544	2566
175	547	2562
176	549	2556
177	551	2545
178	552	2534
179	554	2524
180	555	2514
181	556	2502
182	558	2491
183	559	2483
184	562	2480
185	564	2471
186	565	2460
187	567	2450
188	570	2449
189	572	2442
190	574	2434
191	577	2430
192	579	2425
193	581	2416
194	583	2407
195	584	2396
196	585	2386
197	586	2376
198	587	2366
199	589	2359
200	592	2353
201	594	2347
202	595	2338
203	596	2329
204	598	2321
205	600	2313
206	601	2303
207	602	2294
208	604	2286
209	606	2281
210	607	2273
211	609	2264
212	610	2255
213	611	2246
214	612	2237
215	614	2229
216	615	2221
217	616	2212
218	618	2207
219	621	2203
220	622	2195
221	624	2187
222	625	2179
223	626	2171
224	628	2163
225	629	2155
226	630	2148
227	631	2139
228	634	2137
229	636	2131
230	637	2123
231	639	2115
232	640	2108
233	641	2100
234	643	2093
235	644	2086
236	645	2079
237	647	2071
238	650	2071
239	652	2064
240	653	2057
241	654	2050
242	655	2042
243	657	2036
244	658	2028
245	659	2021
246	660	2014
247	661	2007
248	664	2005
249	666	1998
250	667	1991
